Title,Year,Director,Producer,Genres,Summary,Duration,Budget,Revenue,Ratings,Vote Count,Popularity,Content Rating,Original Language,Production Companies,Production Countries,Spoken Languages,Tagline,Adult,Movie ID
The Quest for Tom Sawyer's Gold,2023,Kirk Harris,Jerome Reygner-Kalfon,"Adventure, Family","Agatha Armstrong and her trusty sidekick Mrs. Mac were once the world’s most daring adventurers. But when her son Ant came along, everything quickly changed and her devil-may-care ways took a backseat to being over-protective and terrified of anything that posed a risk to her family.",88,0,107398,4.65,10,363.302,PG,en,"Ace Entertainment Films, Grindstone Entertainment Group",United States of America,English,The enigma of the lost treasure.,FALSE,966576
The Super Mario Bros. Movie,2023,Aaron Horvath,Chris Meledandri,"Animation, Family, Adventure, Fantasy, Comedy","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",93,100000000,1362000000,7.654,8932,313.758,G,en,"Universal Pictures, Illumination, Nintendo","Japan, United States of America",English,Not all heroes wear capes. Some wear overalls.,FALSE,502356
Transformers: Rise of the Beasts,2023,Steven Caple Jr.,Mark Vahradian,"Science Fiction, Adventure, Action","When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",127,195000000,439000000,7.307,4484,267.861,12A,en,"Skydance Media, Paramount Pictures, di Bonaventura Pictures, Bay Films, New Republic Pictures, DeSanto/Murphy Productions, Hasbro",United States of America,", Español, English",Unite or fall.,FALSE,667538
Mayhem!,2023,Xavier Gens,Vincent Roget,"Action, Crime, Drama","Sam is a professional boxer about to get released from prison. While on parole, his past catches up with him and he has no choice but to flee. Five years later, he has rebuilt a simple life on an exotic island in Thailand with his wife and her daughter, but when he gets blackmailed by a dangerous local godfather, he must embark on a dangerous drug smuggling mission which results in a tragedy. Now he has only one purpose: to seek merciless vengeance.",99,4920000,1500000,6.7,153,266.5,R,fr,"France 2 Cinéma, Same Player, The Ink Connection, Two suns production",France,"English, Français, ภาษาไทย",This ends one way.,FALSE,959092
Migration,2023,Benjamin Renner,Chris Meledandri,"Animation, Action, Adventure, Comedy, Family","After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",83,72000000,298776052,7.446,1712,250.783,U,en,"Universal Pictures, Illumination",United States of America,English,Odd ducks welcome.,FALSE,940551
The Smoke Master,2023,Andre Sigwalt,Augusto Soares,"Action, Comedy, Fantasy","The journey of Gabriel and Daniel, two brothers cursed by the Chinese mafia with its feared Three Generations Revenge, who have already reaped the life of their grandfather and their father. To survive, one of the brothers must learn the Smoke Style secrets, a little known Cannabis martial art, taught by a single master, high up in the mountains.",104,120000,0,7.545,67,219.538,NR,pt,TSC TSC  CINEMA,Brazil,"普通话, English, Português",A stoned kung fu movie,FALSE,950526
Fast X,2023,Louis Leterrier,Justin Lin,"Action, Crime, Thriller","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",142,340000000,704709660,7.093,5460,211.116,12A,en,"Universal Pictures, Original Film, One Race, Perfect Storm Entertainment",United States of America,English,The end of the road begins.,FALSE,385687
John Wick: Chapter 4,2023,Chad Stahelski,Chad Stahelski,"Action, Thriller, Crime","With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",170,90000000,440157245,7.739,6341,205.143,15,en,"Thunder Road, 87Eleven, Studio Babelsberg, Lionsgate","Germany, United States of America","العربية, 广州话 / 廣州話, English, Français, Deutsch, 日本語, Latin, Pусский, Español","No way back, one way out.",FALSE,603692
Wish,2023,Fawn Veerasunthorn,Juan Pablo Reyes Lancaster-Jones,"Animation, Family, Fantasy, Adventure","Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",95,175000000,254997360,6.363,1399,202.077,PG,en,"Walt Disney Pictures, Walt Disney Animation Studios",United States of America,English,Be careful what you wish for.,FALSE,1022796
Mission: Impossible - Dead Reckoning Part One,2023,Christopher McQuarrie,Christopher McQuarrie,"Action, Thriller","Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",164,291000000,567535383,7.552,3684,198.656,PG,en,"Paramount Pictures, Skydance Media, TC Productions",United States of America,"Français, English, Italiano, Pусский",We all share the same fate.,FALSE,575264
Aquaman and the Lost Kingdom,2023,James Wan,James Wan,"Action, Adventure, Fantasy","Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.",124,205000000,434381226,6.683,2706,195.044,PG,en,"Warner Bros. Pictures, The Safran Company, Atomic Monster, DC Films, Domain Entertainment",United States of America,"普通话, English, 한국어/조선말",The tide is turning.,FALSE,572802
The Family Plan,2023,Simon Cellan Jones,Stephen Levinson,"Action, Comedy","Dan Morgan is many things: a devoted husband, a loving father, a celebrated car salesman. He's also a former assassin. And when his past catches up to his present, he's forced to take his unsuspecting family on a road trip unlike any other.",118,0,0,7.27,1316,188.899,14A,en,"Municipal Pictures, Skydance Media",United States of America,"English, Français",A thrilling road trip comedy.,FALSE,1029575
Spider-Man: Across the Spider-Verse,2023,Kemp Powers,Christina Steinberg,"Animation, Action, Adventure, Science Fiction","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",140,100000000,690897910,8.358,6800,174.249,PG,en,"Columbia Pictures, Sony Pictures Animation, Lord Miller, Pascal Pictures, Arad Productions, Marvel Entertainment",United States of America,"English, हिन्दी, Italiano, Español",It's how you wear the mask that matters.,FALSE,569094
Monolith,2023,Matt Vesely,Bettina Hamilton,"Horror, Mystery, Science Fiction, Thriller","A desperate young journalist turns to podcasting to salvage her career, but her rush to make headlines leads her to an alien conspiracy.",94,0,12480,5.928,90,164.136,15,en,"South Australian Film Corporation, Adelaide Film Festival Investment Fund, Black Cat White Rabbit Productions",Australia,English,All you have to do is listen.,FALSE,1024721
The Marvels,2023,Nia DaCosta,Kevin Feige,"Science Fiction, Adventure, Action","Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",105,274800000,207089999,6.074,2597,154.504,PG,en,"Marvel Studios, Kevin Feige Productions",United States of America,"English, اردو",Higher. Further. Faster. Together.,FALSE,609681
"Miraculous: Ladybug & Cat Noir, The Movie",2023,Jeremy Zag,Daisy Shang,"Animation, Fantasy, Action, Romance, Family","After a guardian of magical jewels turns an awkward girl and a popular boy into superheroes, they can never reveal their identities — even to each other.",107,86000000,40208268,7.654,843,149.71,PG,fr,"The Awakening Production, SND, Fantawild, Zag Animation Studios, ON Animation Studios","China, France","English, Français",The fate of the world is in their hands.,FALSE,496450
Creed III,2023,Michael B. Jordan,Michael B. Jordan,"Drama, Action","After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter with nothing to lose.",116,75000000,275300000,7.125,2463,148.946,12A,en,"Metro-Goldwyn-Mayer, Chartoff-Winkler Productions, Proximity Media, Outlier Society",United States of America,"English, Español",You can't run from your past.,FALSE,677179
Out of Exile,2023,Kyle Kauwika Harris,Karrie Cox,"Thriller, Drama, Action, Crime","Recently paroled thief Gabriel Russell tries to balance his life and mend a troubled family as an FBI agent hunts him down, along with his crew after a botched armored car robbery.",107,0,0,6.436,39,144.92,R,en,"Through Films, SafeHouse Films",United States of America,English,,FALSE,729165
Robot Dreams,2023,Pablo Berger,Ignasi Estapé,"Animation, Drama, Comedy, Science Fiction",A lonely dog's friendship with his robot companion takes a sad turn when an unexpected malfunction forces him to abandon Robot at the beach. Will Dog ever meet Robot again?,102,5300000,4656348,8.1,484,144.754,PG,es,"Arcadia Motion Pictures, LokizFilms, Noodles Production, Les films du Worso","France, Spain",No Language,,FALSE,838240
